Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Kharif     ,Punjab,11000,8200,690.1,1046870,3410,0.766153846
Bajra,1997,Kharif     ,Punjab,8000,8000,690.1,761360,2480,1
Barley,1997,Rabi       ,Punjab,37000,111000,690.1,3521290,11470,2.995454545
Cotton(lint),1997,Whole Year ,Punjab,724000,937000,690.1,68903080,224440,1.324
Gram,1997,Rabi       ,Punjab,13300,11000,690.1,1265761,4123,0.844615385
Groundnut,1997,Kharif     ,Punjab,8000,8000,690.1,761360,2480,1
Maize,1997,Kharif     ,Punjab,165000,345000,690.1,15703050,51150,2.102727273
Masoor,1997,Rabi       ,Punjab,5200,3400,690.1,494884,1612,0.72625
Moong(Green Gram),1997,Whole Year ,Punjab,49300,31700,690.1,4691881,15283,0.601666667
Rapeseed &Mustard,1997,Rabi       ,Punjab,72000,63000,690.1,6852240,22320,0.925882353
Rice,1997,Kharif     ,Punjab,2281000,7904000,690.1,217082770,707110,3.476470588
Sesamum,1997,Kharif     ,Punjab,14300,4500,690.1,1360931,4433,0.447
Sugarcane,1997,Whole Year ,Punjab,126000,7150000,690.1,11991420,39060,58.046875
Urad,1997,Kharif     ,Punjab,4700,1900,690.1,447299,1457,0.446666667
Wheat,1997,Rabi       ,Punjab,3300000,12715000,690.1,314061000,1023000,3.781176471
Arhar/Tur,1997,Kharif     ,Uttar Pradesh,465581,480673,473.9,44309343.77,144330.11,0.9
Bajra,1997,Kharif     ,Uttar Pradesh,864228,1252811,473.9,82248578.76,267910.68,1.324
Barley,1997,Rabi       ,Uttar Pradesh,337037,747044,473.9,32075811.29,104481.47,2.046329114
Castor seed,1997,Kharif     ,Uttar Pradesh,23,15,473.9,2188.91,7.13,0.814285714
Gram,1997,Rabi       ,Uttar Pradesh,881819,746516,473.9,83922714.23,273363.89,0.823037975
Groundnut,1997,Kharif     ,Uttar Pradesh,138588,124084,473.9,13189419.96,42962.28,0.872727273
Jowar,1997,Kharif     ,Uttar Pradesh,397761,353464,473.9,37854914.37,123305.91,0.897647059
Linseed,1997,Rabi       ,Uttar Pradesh,81733,34838,473.9,7778529.61,25337.23,0.421320755
Maize,1997,Kharif     ,Uttar Pradesh,1017592,1598438,473.9,96844230.64,315453.52,1.498125
Maize,1997,Summer     ,Uttar Pradesh,10385,16398,473.9,988340.45,3219.35,1.577936508
Masoor,1997,Rabi       ,Uttar Pradesh,505695,365390,473.9,48126993.15,156765.45,0.76925
Moong(Green Gram),1997,Kharif     ,Uttar Pradesh,29316,8446,473.9,2790003.72,9087.96,0.332985075
Moong(Green Gram),1997,Summer     ,Uttar Pradesh,86459,36738,473.9,8228303.03,26802.29,0.476029412
Moth,1997,Kharif     ,Uttar Pradesh,933194,571557,473.9,88812072.98,289290.14,0.61474359
Onion,1997,Kharif     ,Uttar Pradesh,20151,209189,473.9,1917770.67,6246.81,10.23036364
Peas & beans (Pulses),1997,Rabi       ,Uttar Pradesh,427413,497369,473.9,40676895.21,132498.03,1.2715
Potato,1997,Whole Year ,Uttar Pradesh,400234,5869975,473.9,38090269.78,124072.54,13.6445
Rapeseed &Mustard,1997,Rabi       ,Uttar Pradesh,759048,445133,473.9,72238598.16,235304.88,0.61375
Rice,1997,Kharif     ,Uttar Pradesh,5726527,12262794,473.9,544993574.6,1775223.37,2.037
Rice,1997,Summer     ,Uttar Pradesh,6607,18281,473.9,628788.19,2048.17,2.202903226
Sesamum,1997,Kharif     ,Uttar Pradesh,105997,15976,473.9,10087734.49,32859.07,0.1668
Small millets,1997,Kharif     ,Uttar Pradesh,244340,285040,473.9,23253837.8,75745.4,0.90877193
Soyabean,1997,Kharif     ,Uttar Pradesh,52761,51936,473.9,5021264.37,16355.91,0.875641026
Sugarcane,1997,Kharif     ,Uttar Pradesh,6719,379133,473.9,639447.23,2082.89,56.43
Sugarcane,1997,Whole Year ,Uttar Pradesh,1985223,121066703,473.9,188933672.9,615419.13,53.15815789
Sunflower,1997,Rabi       ,Uttar Pradesh,26405,35701,473.9,2512963.85,8185.55,1.320833333
Urad,1997,Kharif     ,Uttar Pradesh,324558,134619,473.9,30888184.86,100612.98,0.477125
Urad,1997,Summer     ,Uttar Pradesh,72023,33793,473.9,6854428.91,22327.13,0.466567164
Wheat,1997,Rabi       ,Uttar Pradesh,9152928,22830886,473.9,871084157.8,2837407.68,2.416
Arhar/Tur,1998,Kharif     ,Haryana,14247,13500,687.6,1407603.6,4131.63,0.905789474
Bajra,1998,Kharif     ,Haryana,613174,618800,687.6,60581591.2,177820.46,1.006842105
Barley,1998,Rabi       ,Haryana,36376,100000,687.6,3593948.8,10549.04,1.647894737
Cotton(lint),1998,Kharif     ,Haryana,583165,874000,687.6,57616702,169117.85,0.748421053
Dry chillies,1998,Whole Year ,Haryana,1891,1600,687.6,186830.8,548.39,0.728888889
Gram,1998,Rabi       ,Haryana,356872,294000,687.6,35258953.6,103492.88,0.568421053
Groundnut,1998,Kharif     ,Haryana,1196,800,687.6,118164.8,346.84,0.274615385
Jowar,1998,Kharif     ,Haryana,129910,25000,687.6,12835108,37673.9,0.101666667
Maize,1998,Kharif     ,Haryana,20117,39000,687.6,1987559.6,5833.93,0.938235294
Masoor,1998,Rabi       ,Haryana,11106,7600,687.6,1097272.8,3220.74,0.833333333
Moong(Green Gram),1998,Kharif     ,Haryana,20763,5400,687.6,2051384.4,6021.27,0.097857143
Moth,1998,Kharif     ,Haryana,2189,400,687.6,216273.2,634.81,0.028571429
Onion,1998,Whole Year ,Haryana,4707,59700,687.6,465051.6,1365.03,13.94882353
Peas & beans (Pulses),1998,Rabi       ,Haryana,1742,1800,687.6,172109.6,505.18,0.848571429
Potato,1998,Whole Year ,Haryana,13467,212700,687.6,1330539.6,3905.43,14.64631579
Rapeseed &Mustard,1998,Rabi       ,Haryana,497788,615000,687.6,49181454.4,144358.52,1.094210526
Rice,1998,Kharif     ,Haryana,1086694,2432000,687.6,107365367.2,315141.26,2.286666667
Sannhamp,1998,Whole Year ,Haryana,797,200,687.6,78743.6,231.13,0.065833333
Sesamum,1998,Kharif     ,Haryana,3098,1000,687.6,306082.4,898.42,0.177894737
Sugarcane,1998,Whole Year ,Haryana,128074,7010000,687.6,12653711.2,37141.46,51.58421053
Sunflower,1998,Rabi       ,Haryana,24721,35700,687.6,2442434.8,7169.09,0.977
Sweet potato,1998,Whole Year ,Haryana,88,1500,687.6,8694.4,25.52,14.696
Urad,1998,Kharif     ,Haryana,1957,500,687.6,193351.6,567.53,0.151
Wheat,1998,Rabi       ,Haryana,2185662,8563000,687.6,215943405.6,633841.98,3.825789474
Arhar/Tur,1998,Kharif     ,Himachal Pradesh,128,30,1381.6,12646.4,37.12,0.255
Bajra,1998,Kharif     ,Himachal Pradesh,469,266,1381.6,46337.2,136.01,1.476666667
Barley,1998,Rabi       ,Himachal Pradesh,26752,27756,1381.6,2643097.6,7758.08,1.112727273
Coriander,1998,Rabi       ,Himachal Pradesh,395,128,1381.6,39026,114.55,0.512857143
Cotton(lint),1998,Whole Year ,Himachal Pradesh,57,30,1381.6,5631.6,16.53,0.548333333
Dry chillies,1998,Whole Year ,Himachal Pradesh,1007,224,1381.6,99491.6,292.03,0.205
Garlic,1998,Whole Year ,Himachal Pradesh,663,700,1381.6,65504.4,192.27,1.087272727
Ginger,1998,Whole Year ,Himachal Pradesh,1822,2631,1381.6,180013.6,528.38,1.19
Gram,1998,Rabi       ,Himachal Pradesh,1908,1653,1381.6,188510.4,553.32,0.734444444
Groundnut,1998,Kharif     ,Himachal Pradesh,282,286,1381.6,27861.6,81.78,0.714285714
Horse-gram,1998,Kharif     ,Himachal Pradesh,3028,1475,1381.6,299166.4,878.12,0.467
Linseed,1998,Rabi       ,Himachal Pradesh,2384,617,1381.6,235539.2,691.36,0.294
Maize,1998,Kharif     ,Himachal Pradesh,300976,662272,1381.6,29736428.8,87283.04,2.23
Masoor,1998,Rabi       ,Himachal Pradesh,1168,518,1381.6,115398.4,338.72,0.546363636
Moong(Green Gram),1998,Kharif     ,Himachal Pradesh,62,25,1381.6,6125.6,17.98,0.375
Peas & beans (Pulses),1998,Rabi       ,Himachal Pradesh,4845,10919,1381.6,478686,1405.05,1.848333333
Potato,1998,Kharif     ,Himachal Pradesh,10580,124547,1381.6,1045304,3068.2,11.007
Potato,1998,Rabi       ,Himachal Pradesh,3251,28756,1381.6,321198.8,942.79,10.772
Rapeseed &Mustard,1998,Rabi       ,Himachal Pradesh,10551,5733,1381.6,1042438.8,3059.79,0.745833333
Rice,1998,Kharif     ,Himachal Pradesh,82125,116997,1381.6,8113950,23816.25,1.455454545
Sesamum,1998,Kharif     ,Himachal Pradesh,4563,2122,1381.6,450824.4,1323.27,0.397777778
Small millets,1998,Kharif     ,Himachal Pradesh,14771,9881,1381.6,1459374.8,4283.59,0.436
Soyabean,1998,Kharif     ,Himachal Pradesh,585,1153,1381.6,57798,169.65,2.537142857
Tobacco,1998,Whole Year ,Himachal Pradesh,59,20,1381.6,5829.2,17.11,0.63
Turmeric,1998,Whole Year ,Himachal Pradesh,84,59,1381.6,8299.2,24.36,0.67
Urad,1998,Kharif     ,Himachal Pradesh,15155,6167,1381.6,1497314,4394.95,0.512727273
Wheat,1998,Rabi       ,Himachal Pradesh,379718,481267,1381.6,37516138.4,110118.22,1.363333333
Arhar/Tur,1998,Kharif     ,Punjab,8700,5400,588.6,859560,2523,0.685
Bajra,1998,Kharif     ,Punjab,4000,4000,588.6,395200,1160,1
Barley,1998,Rabi       ,Punjab,31000,100000,588.6,3062800,8990,3.122727273
Cotton(lint),1998,Kharif     ,Punjab,562000,595000,588.6,55525600,162980,1.004
Gram,1998,Rabi       ,Punjab,15200,10400,588.6,1501760,4408,0.765833333
Groundnut,1998,Kharif     ,Punjab,6000,5000,588.6,592800,1740,0.9175
Linseed,1998,Rabi       ,Punjab,300,300,588.6,29640,87,1
Maize,1998,Kharif     ,Punjab,154000,352000,588.6,15215200,44660,2.42
Masoor,1998,Rabi       ,Punjab,4800,3200,588.6,474240,1392,0.73125
Moong(Green Gram),1998,Kharif     ,Punjab,42300,25600,588.6,4179240,12267,0.596666667
Peas & beans (Pulses),1998,Rabi       ,Punjab,4300,4100,588.6,424840,1247,0.944444444
Rapeseed &Mustard,1998,Rabi       ,Punjab,73000,69000,588.6,7212400,21170,1.067058824
Rice,1998,Kharif     ,Punjab,2519000,7940000,588.6,248877200,730510,3.099411765
Sesamum,1998,Kharif     ,Punjab,12100,4200,588.6,1195480,3509,0.3425
Sugarcane,1998,Whole Year ,Punjab,103000,6130000,588.6,10176400,29870,60.698
Urad,1998,Kharif     ,Punjab,4100,2000,588.6,405080,1189,0.496
Wheat,1998,Rabi       ,Punjab,3338000,14460000,588.6,329794400,968020,4.298823529
Arhar/Tur,1998,Kharif     ,Uttar Pradesh,427079,497339,743.4,42195405.2,123852.91,0.982
Bajra,1998,Kharif     ,Uttar Pradesh,842795,979347,743.4,83268146,244410.55,1.110714286
Barley,1998,Rabi       ,Uttar Pradesh,330535,702706,743.4,32656858,95855.15,2.021927711
Castor seed,1998,Rabi       ,Uttar Pradesh,36,24,743.4,3556.8,10.44,0.674615385
Cotton(lint),1998,Kharif     ,Uttar Pradesh,7454,813,743.4,736455.2,2161.66,0.088
Gram,1998,Rabi       ,Uttar Pradesh,886463,772933,743.4,87582544.4,257074.27,0.888987342
Groundnut,1998,Kharif     ,Uttar Pradesh,130605,84803,743.4,12903774,37875.45,0.687258065
Jowar,1998,Kharif     ,Uttar Pradesh,353897,247658,743.4,34965023.6,102630.13,0.694179104
Jute,1998,Kharif     ,Uttar Pradesh,66,51,743.4,6520.8,19.14,0.83
Linseed,1998,Rabi       ,Uttar Pradesh,71995,27284,743.4,7113106,20878.55,0.3625
Maize,1998,Kharif     ,Uttar Pradesh,995794,1012898,743.4,98384447.2,288780.26,0.933780488
Maize,1998,Summer     ,Uttar Pradesh,10551,10699,743.4,1042438.8,3059.79,1.01047619
Masoor,1998,Rabi       ,Uttar Pradesh,545528,395359,743.4,53898166.4,158203.12,0.7265
Moong(Green Gram),1998,Kharif     ,Uttar Pradesh,26341,5716,743.4,2602490.8,7638.89,0.255671642
Moong(Green Gram),1998,Summer     ,Uttar Pradesh,81599,41796,743.4,8061981.2,23663.71,0.534788732
Moth,1998,Kharif     ,Uttar Pradesh,164,63,743.4,16203.2,47.56,0.334666667
Onion,1998,Whole Year ,Uttar Pradesh,24949,302996,743.4,2464961.2,7235.21,12.188125
Peas & beans (Pulses),1998,Rabi       ,Uttar Pradesh,492128,504552,743.4,48622246.4,142717.12,1.115375
Potato,1998,Whole Year ,Uttar Pradesh,429231,9793745,743.4,42408022.8,124476.99,21.38225
Ragi,1998,Kharif     ,Uttar Pradesh,134750,184356,743.4,13313300,39077.5,1.326969697
Rapeseed &Mustard,1998,Rabi       ,Uttar Pradesh,675105,557633,743.4,66700374,195780.45,0.7535
Rice,1998,Kharif     ,Uttar Pradesh,5875153,11374070,743.4,580465116.4,1703794.37,1.865060241
Rice,1998,Summer     ,Uttar Pradesh,5629,12643,743.4,556145.2,1632.41,2.015172414
Sannhamp,1998,Whole Year ,Uttar Pradesh,9421,3429,743.4,930794.8,2732.09,0.343703704
Sesamum,1998,Kharif     ,Uttar Pradesh,91956,11274,743.4,9085252.8,26667.24,0.130136986
Small millets,1998,Kharif     ,Uttar Pradesh,245805,298031,743.4,24285534,71283.45,0.765789474
Soyabean,1998,Kharif     ,Uttar Pradesh,52885,21995,743.4,5225038,15336.65,0.418536585
Sugarcane,1998,Whole Year ,Uttar Pradesh,1974642,116483396,743.4,195094629.6,572646.18,51.80960526
Sunflower,1998,Rabi       ,Uttar Pradesh,27742,33926,743.4,2740909.6,8045.18,1.215942029
Tobacco,1998,Whole Year ,Uttar Pradesh,18679,123903,743.4,1845485.2,5416.91,6.295531915
Turmeric,1998,Whole Year ,Uttar Pradesh,836,1554,743.4,82596.8,242.44,1.881944444
Urad,1998,Kharif     ,Uttar Pradesh,287704,77017,743.4,28425155.2,83434.16,0.327125
Urad,1998,Summer     ,Uttar Pradesh,69711,32249,743.4,6887446.8,20216.19,0.498235294
Wheat,1998,Rabi       ,Uttar Pradesh,9317904,23465191,743.4,920608915.2,2702192.16,2.37373494
Arhar/Tur,1999,Kharif     ,Haryana,11630,9800,344,1234291.9,3140.1,0.735789474
Bajra,1999,Kharif     ,Haryana,586877,582000,344,62285256.01,158456.79,0.942631579
Barley,1999,Rabi       ,Haryana,34744,102000,344,3687380.72,9380.88,1.938947368
Cotton(lint),1999,Kharif     ,Haryana,543718,1304000,344,57704791.34,146803.86,1.136315789
Dry chillies,1999,Whole Year ,Haryana,2619,2600,344,277954.47,707.13,0.688888889
Gram,1999,Rabi       ,Haryana,100405,58000,344,10655982.65,27109.35,0.399473684
Groundnut,1999,Kharif     ,Haryana,751,500,344,79703.63,202.77,0.332727273
Jowar,1999,Kharif     ,Haryana,111819,22000,344,11867350.47,30191.13,0.177142857
Maize,1999,Kharif     ,Haryana,20078,48000,344,2130878.14,5421.06,0.812631579
Masoor,1999,Rabi       ,Haryana,8650,6200,344,918024.5,2335.5,0.5925
Moong(Green Gram),1999,Kharif     ,Haryana,9927,2000,344,1053552.51,2680.29,0.056666667
Moth,1999,Kharif     ,Haryana,99,0,344,10506.87,26.73,0
Onion,1999,Whole Year ,Haryana,2669,36800,344,283260.97,720.63,12.858
Peas & beans (Pulses),1999,Rabi       ,Haryana,1358,1500,344,144124.54,366.66,0.564666667
Potato,1999,Whole Year ,Haryana,12659,199800,344,1343499.67,3417.93,21.46470588
Rapeseed &Mustard,1999,Rabi       ,Haryana,449818,595000,344,47739184.34,121450.86,1.112105263
Rice,1999,Kharif     ,Haryana,1083052,2563000,344,114944308.8,292424.04,2.235
Sesamum,1999,Kharif     ,Haryana,4937,0,344,523963.81,1332.99,0
Sugarcane,1999,Whole Year ,Haryana,136696,7640000,344,14507546.48,36907.92,44.50210526
Sunflower,1999,Rabi       ,Haryana,6857,7600,344,727733.41,1851.39,0.7625
Urad,1999,Kharif     ,Haryana,1221,502,344,129584.73,329.67,1.24
Wheat,1999,Rabi       ,Haryana,2316531,9650000,344,245853435,625463.37,4.054210526
Arhar/Tur,1999,Kharif     ,Himachal Pradesh,155,33,1144.9,16450.15,41.85,0.136666667
Barley,1999,Rabi       ,Himachal Pradesh,25901,32496,1144.9,2748873.13,6993.27,1.228333333
Dry chillies,1999,Whole Year ,Himachal Pradesh,859,276,1144.9,91165.67,231.93,0.311111111
Gram,1999,Rabi       ,Himachal Pradesh,1691,1594,1144.9,179465.83,456.57,0.825555556
Groundnut,1999,Kharif     ,Himachal Pradesh,179,150,1144.9,18997.27,48.33,0.558333333
Horse-gram,1999,Kharif     ,Himachal Pradesh,3307,1634,1144.9,350971.91,892.89,0.475555556
Linseed,1999,Rabi       ,Himachal Pradesh,2937,890,1144.9,311703.81,792.99,0.23
Maize,1999,Kharif     ,Himachal Pradesh,299906,681424,1144.9,31829023.78,80974.62,2.324166667
Masoor,1999,Kharif     ,Himachal Pradesh,1061,440,1144.9,112603.93,286.47,0.41
Moong(Green Gram),1999,Kharif     ,Himachal Pradesh,342,139,1144.9,36296.46,92.34,0.255
Peas & beans (Pulses),1999,Kharif     ,Himachal Pradesh,5046,11895,1144.9,535531.98,1362.42,1.59
Potato,1999,Whole Year ,Himachal Pradesh,627,5395,1144.9,66543.51,169.29,5.58
Rapeseed &Mustard,1999,Rabi       ,Himachal Pradesh,11079,5739,1144.9,1175814.27,2991.33,0.659090909
Rice,1999,Kharif     ,Himachal Pradesh,80222,120365,1144.9,8513960.86,21659.94,1.55
Sesamum,1999,Kharif     ,Himachal Pradesh,4056,2080,1144.9,430463.28,1095.12,0.415
Small millets,1999,Kharif     ,Himachal Pradesh,15200,9818,1144.9,1613176,4104,0.457777778
Soyabean,1999,Kharif     ,Himachal Pradesh,553,716,1144.9,58689.89,149.31,1.095
Sugarcane,1999,Whole Year ,Himachal Pradesh,3005,15470,1144.9,318920.65,811.35,5.206666667
Urad,1999,Kharif     ,Himachal Pradesh,14612,5418,1144.9,1550771.56,3945.24,0.495454545
Wheat,1999,Rabi       ,Himachal Pradesh,370587,583300,1144.9,39330398.31,100058.49,1.5775
Arhar/Tur,1999,Kharif     ,Punjab,8600,7200,364.4,912718,2322,0.854166667
Bajra,1999,Kharif     ,Punjab,5000,4000,364.4,530650,1350,0.833333333
Barley,1999,Rabi       ,Punjab,30000,106000,364.4,3183900,8100,3.483
Cotton(lint),1999,Kharif     ,Punjab,475000,950000,364.4,50411750,128250,1.794
Gram,1999,Rabi       ,Punjab,6300,6100,364.4,668619,1701,1.000833333
Groundnut,1999,Kharif     ,Punjab,6000,6000,364.4,636780,1620,1
Linseed,1999,Rabi       ,Punjab,300,300,364.4,31839,81,1
Maize,1999,Kharif     ,Punjab,162000,417000,364.4,17193060,43740,2.711666667
Masoor,1999,Rabi       ,Punjab,3900,2600,364.4,413907,1053,0.695
Moong(Green Gram),1999,Kharif     ,Punjab,38300,22800,364.4,4064779,10341,0.636666667
Peas & beans (Pulses),1999,Rabi       ,Punjab,4300,2800,364.4,456359,1161,0.628333333
Rapeseed &Mustard,1999,Rabi       ,Punjab,56000,63000,364.4,5943280,15120,1.083529412
Rice,1999,Kharif     ,Punjab,2604000,8716000,364.4,276362520,703080,3.332352941
Sesamum,1999,Kharif     ,Punjab,15100,5200,364.4,1602563,4077,0.255
Sugarcane,1999,Whole Year ,Punjab,108000,6770000,364.4,11462040,29160,62.67266667
Urad,1999,Kharif     ,Punjab,3600,1710,364.4,382068,972,0.402
Wheat,1999,Rabi       ,Punjab,3388000,15910000,364.4,359568440,914760,4.651764706
Arhar/Tur,1999,Kharif     ,Uttar Pradesh,426486,545353,883.4,45262959.18,115151.22,1.100632911
Bajra,1999,Kharif     ,Uttar Pradesh,835019,1165247,883.4,88620566.47,225455.13,1.326176471
Barley,1999,Rabi       ,Uttar Pradesh,312769,697504,883.4,33194173.97,84447.63,2.026626506
Castor seed,1999,Kharif     ,Uttar Pradesh,76,49,883.4,8065.88,20.52,0.7675
Cotton(lint),1999,Kharif     ,Uttar Pradesh,6914,6077,883.4,733782.82,1866.78,1.016666667
Gram,1999,Rabi       ,Uttar Pradesh,821996,778932,883.4,87238435.48,221938.92,0.96425
Groundnut,1999,Kharif     ,Uttar Pradesh,115536,96166,883.4,12261835.68,31194.72,0.921967213
Jowar,1999,Kharif     ,Uttar Pradesh,358812,320643,883.4,38080717.56,96879.24,0.864090909
Jute,1999,Kharif     ,Uttar Pradesh,38,29,883.4,4032.94,10.26,0.7
Linseed,1999,Rabi       ,Uttar Pradesh,69214,30392,883.4,7345681.82,18687.78,0.43875
Maize,1999,Kharif     ,Uttar Pradesh,955522,1380635,883.4,101409549.9,257990.94,1.303170732
Maize,1999,Rabi       ,Uttar Pradesh,11659,16894,883.4,1237369.67,3147.93,1.455079365
Moong(Green Gram),1999,Kharif     ,Uttar Pradesh,26715,7518,883.4,2835262.95,7213.05,0.322295082
Moong(Green Gram),1999,Summer     ,Uttar Pradesh,70973,38408,883.4,7532364.49,19162.71,0.599577465
Moth,1999,Whole Year ,Uttar Pradesh,204,84,883.4,21650.52,55.08,0.447272727
Onion,1999,Whole Year ,Uttar Pradesh,28666,404070,883.4,3042322.58,7739.82,14.15512195
Peas & beans (Pulses),1999,Whole Year ,Uttar Pradesh,408085,564623,883.4,43310061.05,110182.95,1.459259259
Potato,1999,Whole Year ,Uttar Pradesh,441656,9952976,883.4,46872951.28,119247.12,21.67878049
Ragi,1999,Rabi       ,Uttar Pradesh,137622,190689,883.4,14605822.86,37157.94,1.618965517
Rapeseed &Mustard,1999,Rabi       ,Uttar Pradesh,655386,668346,883.4,69556116.18,176954.22,0.874390244
Rice,1999,Kharif     ,Uttar Pradesh,6079822,13230539,883.4,645251508.9,1641551.94,1.991707317
Rice,1999,Summer     ,Uttar Pradesh,6052,16186,883.4,642298.76,1634.04,2.190384615
Small millets,1999,Kharif     ,Uttar Pradesh,239361,300468,883.4,25403382.93,64627.47,0.843818182
Soyabean,1999,Kharif     ,Uttar Pradesh,22663,17332,883.4,2405224.19,6119.01,0.755588235
Sugarcane,1999,Whole Year ,Uttar Pradesh,2011024,115418883,883.4,213429977.1,542976.48,52.28773333
Sunflower,1999,Kharif     ,Uttar Pradesh,14317,18342,883.4,1519463.21,3865.59,1.26969697
Tobacco,1999,Whole Year ,Uttar Pradesh,19468,133250,883.4,2066138.84,5256.36,6.125365854
Turmeric,1999,Whole Year ,Uttar Pradesh,1271,1981,883.4,134891.23,343.17,1.583488372
Urad,1999,Kharif     ,Uttar Pradesh,271349,112667,883.4,28798269.37,73264.23,0.443846154
Urad,1999,Summer     ,Uttar Pradesh,67969,32911,883.4,7213549.97,18351.63,0.520895522
Wheat,1999,Rabi       ,Uttar Pradesh,9381878,26050768,883.4,995698712.1,2533107.06,2.636419753
Arhar/Tur,2000,Kharif     ,Haryana,14482,11400,383.7,1421697.94,3765.32,0.748333333
Bajra,2000,Kharif     ,Haryana,608321,656000,383.7,59718872.57,158163.46,0.928421053
Barley,2000,Rabi       ,Haryana,44116,118000,383.7,4330867.72,11470.16,1.613157895
Cotton(lint),2000,Kharif     ,Haryana,555385,1016700,383.7,54522145.45,144400.1,1.161052632
Dry chillies,2000,Whole Year ,Haryana,2140,2100,383.7,210083.8,556.4,0.715
Garlic,2000,Whole Year ,Haryana,286,2300,383.7,28076.62,74.36,5.085555556
Ginger,2000,Kharif     ,Haryana,65,0,383.7,6381.05,16.9,0
Gram,2000,Rabi       ,Haryana,124536,80000,383.7,12225699.12,32379.36,0.648947368
Groundnut,2000,Kharif     ,Haryana,340,200,383.7,33377.8,88.4,0.204166667
Jowar,2000,Kharif     ,Haryana,109354,27800,383.7,10735282.18,28432.04,0.206923077
Maize,2000,Kharif     ,Haryana,15429,34000,383.7,1514664.93,4011.54,0.740555556
Masoor,2000,Rabi       ,Haryana,6493,5200,383.7,637417.81,1688.18,0.623333333
Moong(Green Gram),2000,Kharif     ,Haryana,5331,1200,383.7,523344.27,1386.06,0.062666667
Moth,2000,Kharif     ,Haryana,122,0,383.7,11976.74,31.72,0
Onion,2000,Whole Year ,Haryana,3419,44300,383.7,335643.23,888.94,14.924
Other Kharif pulses,2000,Kharif     ,Haryana,3458,600,383.7,339471.86,899.08,0.075
Peas & beans (Pulses),2000,Rabi       ,Haryana,1027,1100,383.7,100820.59,267.02,0.903
Potato,2000,Whole Year ,Haryana,9273,141200,383.7,910330.41,2410.98,15.6075
Rapeseed &Mustard,2000,Rabi       ,Haryana,408772,559000,383.7,40129147.24,106280.72,1.202105263
Rice,2000,Kharif     ,Haryana,1054282,2695000,383.7,103498863.9,274113.32,2.443157895
Sannhamp,2000,Whole Year ,Haryana,452,100,383.7,44372.84,117.52,0.136666667
Sesamum,2000,Kharif     ,Haryana,3527,1000,383.7,346245.59,917.02,0.15
Sugarcane,2000,Whole Year ,Haryana,143030,8170000,383.7,14041255.1,37187.8,49.43
Sunflower,2000,Rabi       ,Haryana,1254,1500,383.7,123105.18,326.04,0.77
Sweet potato,2000,Whole Year ,Haryana,120,2500,383.7,11780.4,31.2,19.48
Turmeric,2000,Whole Year ,Haryana,214,0,383.7,21008.38,55.64,0
Urad,2000,Kharif     ,Haryana,1527,300,383.7,149905.59,397.02,0.115833333
Wheat,2000,Rabi       ,Haryana,2354779,9669000,383.7,231168654.4,612242.54,3.990526316
Arhar/Tur,2000,Kharif     ,Himachal Pradesh,272,44,1068.4,26702.24,70.72,0.305714286
Bajra,2000,Kharif     ,Himachal Pradesh,116,41,1068.4,11387.72,30.16,0.51
Barley,2000,Rabi       ,Himachal Pradesh,25639,21414,1068.4,2516980.63,6666.14,0.8325
Gram,2000,Rabi       ,Himachal Pradesh,1403,857,1068.4,137732.51,364.78,0.553333333
Groundnut,2000,Kharif     ,Himachal Pradesh,137,82,1068.4,13449.29,35.62,0.408333333
Horse-gram,2000,Kharif     ,Himachal Pradesh,2807,805,1068.4,275563.19,729.82,0.278181818
Jowar,2000,Kharif     ,Himachal Pradesh,287,89,1068.4,28174.79,74.62,0.15
Linseed,2000,Rabi       ,Himachal Pradesh,2444,349,1068.4,239927.48,635.44,0.113333333
Maize,2000,Kharif     ,Himachal Pradesh,298052,683642,1068.4,29259764.84,77493.52,2.3325
Masoor,2000,Kharif     ,Himachal Pradesh,993,276,1068.4,97482.81,258.18,0.419090909
Moong(Green Gram),2000,Kharif     ,Himachal Pradesh,288,81,1068.4,28272.96,74.88,0.3775
Other Kharif pulses,2000,Kharif     ,Himachal Pradesh,5644,2358,1068.4,554071.48,1467.44,0.531818182
Peas & beans (Pulses),2000,Kharif     ,Himachal Pradesh,5510,11886,1068.4,540916.7,1432.6,1.345555556
Rapeseed &Mustard,2000,Rabi       ,Himachal Pradesh,9686,3637,1068.4,950874.62,2518.36,0.500909091
Rice,2000,Kharif     ,Himachal Pradesh,81519,124893,1068.4,8002720.23,21194.94,1.55
Sesamum,2000,Kharif     ,Himachal Pradesh,4596,1738,1068.4,451189.32,1194.96,0.263333333
Small millets,2000,Kharif     ,Himachal Pradesh,15278,6548,1068.4,1499841.26,3972.28,0.35
Soyabean,2000,Kharif     ,Himachal Pradesh,649,585,1068.4,63712.33,168.74,0.912857143
Sugarcane,2000,Whole Year ,Himachal Pradesh,2817,7854,1068.4,276544.89,732.42,2.665714286
Urad,2000,Kharif     ,Himachal Pradesh,14161,4153,1068.4,1390185.37,3681.86,0.401818182
Wheat,2000,Rabi       ,Himachal Pradesh,362660,261319,1068.4,35602332.2,94291.6,0.803333333
Arhar/Tur,2000,Kharif     ,Punjab,8700,7600,405.3,854079,2262,0.913846154
